ID,MEDV
0,20.57260
1,25.47446
2,16.27528
3,15.31960
4,22.72678
5,21.15096
6,17.54193
7,19.29985
8,33.54206
9,20.10059
10,24.83606
11,19.07756
12,18.48519
13,15.45608
14,17.27434
15,24.96068
16,16.91224
17,25.86654
18,20.04146
19,21.83365
20,24.90259
21,40.82452
22,23.65659
23,12.36954
24,13.59995
25,24.12815
26,14.96093
27,19.50537
28,22.73759
29,12.82654
30,37.75015
31,18.07048
32,17.22486
33,17.17248
34,22.40279
35,20.15171
36,29.38929
37,31.55327
38,42.08249
39,28.48705
40,17.81752
41,34.95749
42,22.89694
43,14.47615
44,19.96058
45,23.70042
46,18.28771
47,21.38342
48,15.47836
49,14.21404
50,18.15179
51,33.29358
52,21.89737
53,7.08234
54,12.71918
55,13.92626
56,18.84870
57,12.56449
58,9.36819
59,17.12331
60,18.44280
61,20.71822
62,35.31605
63,21.55676
64,40.08980
65,31.41596
66,13.12278
67,22.04538
68,22.74749
69,13.91652
70,17.49491
71,19.99548
72,26.59673
73,16.08637
74,19.66803
75,16.90623
76,15.79646
77,29.81761
78,17.71137
79,32.10236
80,32.95178
81,44.25805
82,28.44219
83,28.54339
84,16.88226
85,34.16921
86,13.04588
87,29.26383
88,14.92454
89,18.88500
90,13.06221
91,19.30652
92,14.02075
93,20.89145
94,18.85893
95,23.55804
96,38.33379
97,12.48328
98,13.65431
99,28.08346
100,24.48719
101,15.94583
102,27.29816
103,32.82424
104,32.64846
