ID,MEDV
0,20.58706
1,25.47872
2,16.20821
3,15.49298
4,22.76810
5,21.08407
6,17.62018
7,19.27849
8,33.61218
9,20.00210
10,24.89157
11,19.01098
12,18.62612
13,15.46409
14,17.17026
15,24.91956
16,16.80980
17,25.94033
18,20.04777
19,21.76858
20,24.91790
21,40.90468
22,23.55915
23,12.39896
24,13.77714
25,24.17876
26,15.04250
27,19.61020
28,22.62792
29,12.81324
30,37.82670
31,18.16615
32,17.20606
33,17.25911
34,22.33216
35,20.19727
36,29.46363
37,31.46194
38,41.96200
39,28.55108
40,17.79752
41,34.74252
42,22.90130
43,14.51285
44,19.97183
45,23.76709
46,18.25721
47,21.46458
48,15.54387
49,14.30835
50,18.24816
51,33.27759
52,21.99463
53,7.12366
54,12.84447
55,13.97597
56,18.93078
57,12.59313
58,9.40255
59,17.09815
60,18.36439
61,20.81100
62,35.30938
63,21.59327
64,40.05122
65,31.46361
66,13.21096
67,22.15243
68,22.81808
69,13.95988
70,17.47853
71,19.90388
72,26.55840
73,16.00092
74,19.61492
75,16.85890
76,15.94801
77,29.74866
78,17.59322
79,32.01845
80,32.99828
81,44.27338
82,28.31611
83,28.66482
84,16.90525
85,34.27745
86,13.05740
87,29.22814
88,14.96574
89,18.89138
90,13.12386
91,19.22280
92,14.02705
93,20.75654
94,18.95201
95,23.41725
96,38.08238
97,12.45233
98,13.72344
99,27.92614
100,24.57168
101,15.93578
102,27.27321
103,32.87302
104,32.67367
